urn:uuid:2153d83b-8555-44a3-96e0-821b6663a188,urn:uuid:d85e3c52-cc94-48a4-8dc5-591de86be52f,Account,account
urn:uuid:2df6fac6-3122-44dc-9f92-5caab7f9b10b,urn:uuid:d85e3c52-cc94-48a4-8dc5-591de86be52f,Account,account
urn:uuid:49ac68c4-922c-4d9e-88fa-b318fc54d36f,urn:uuid:d85e3c52-cc94-48a4-8dc5-591de86be52f,Account,account
urn:uuid:bbe073ad-f449-4b25-91ac-7d919613ca51,urn:uuid:d85e3c52-cc94-48a4-8dc5-591de86be52f,Account,account
urn:uuid:1b457bed-8a80-4135-92b8-fdea12b4eea3,urn:uuid:abadd9b5-844e-4982-8fbe-b6b83d43736d,Active Directory,
urn:uuid:2153d83b-8555-44a3-96e0-821b6663a188,urn:uuid:abadd9b5-844e-4982-8fbe-b6b83d43736d,Active Directory,
urn:uuid:2df6fac6-3122-44dc-9f92-5caab7f9b10b,urn:uuid:abadd9b5-844e-4982-8fbe-b6b83d43736d,Active Directory,
urn:uuid:49ac68c4-922c-4d9e-88fa-b318fc54d36f,urn:uuid:abadd9b5-844e-4982-8fbe-b6b83d43736d,Active Directory,
urn:uuid:bbe073ad-f449-4b25-91ac-7d919613ca51,urn:uuid:abadd9b5-844e-4982-8fbe-b6b83d43736d,Active Directory,
urn:uuid:1b457bed-8a80-4135-92b8-fdea12b4eea3,urn:uuid:5162945a-0397-466c-9cd7-02552f893beb,Activity Streams,
urn:uuid:2153d83b-8555-44a3-96e0-821b6663a188,urn:uuid:5162945a-0397-466c-9cd7-02552f893beb,Activity Streams,
urn:uuid:2df6fac6-3122-44dc-9f92-5caab7f9b10b,urn:uuid:5162945a-0397-466c-9cd7-02552f893beb,Activity Streams,
urn:uuid:75f35368-e228-47fe-8efd-7251a2bde816,urn:uuid:5162945a-0397-466c-9cd7-02552f893beb,Activity Streams,
urn:uuid:91684d49-7b99-4b2e-9641-ea0b8e22f66c,urn:uuid:5162945a-0397-466c-9cd7-02552f893beb,Activity Streams,
urn:uuid:bbe073ad-f449-4b25-91ac-7d919613ca51,urn:uuid:5162945a-0397-466c-9cd7-02552f893beb,Activity Streams,
urn:uuid:1b457bed-8a80-4135-92b8-fdea12b4eea3,urn:uuid:51f44aca-bac0-4dbb-92e5-5b5fc3026b32,Aggregate value,
urn:uuid:2153d83b-8555-44a3-96e0-821b6663a188,urn:uuid:51f44aca-bac0-4dbb-92e5-5b5fc3026b32,Aggregate value,
urn:uuid:2df6fac6-3122-44dc-9f92-5caab7f9b10b,urn:uuid:51f44aca-bac0-4dbb-92e5-5b5fc3026b32,Aggregate value,
urn:uuid:49ac68c4-922c-4d9e-88fa-b318fc54d36f,urn:uuid:51f44aca-bac0-4dbb-92e5-5b5fc3026b32,Aggregate value,
urn:uuid:bbe073ad-f449-4b25-91ac-7d919613ca51,urn:uuid:51f44aca-bac0-4dbb-92e5-5b5fc3026b32,Aggregate value,
urn:uuid:1b457bed-8a80-4135-92b8-fdea12b4eea3,urn:uuid:7523c7a8-c808-47d3-9023-5e0a22f46a6b,Agile software development,Agile
urn:uuid:2153d83b-8555-44a3-96e0-821b6663a188,urn:uuid:7523c7a8-c808-47d3-9023-5e0a22f46a6b,Agile software development,Agile
urn:uuid:4ec7530b-5536-4fb7-bb5a-45a3f5fddc22,urn:uuid:7523c7a8-c808-47d3-9023-5e0a22f46a6b,Agile software development,Agile
urn:uuid:bbe073ad-f449-4b25-91ac-7d919613ca51,urn:uuid:7523c7a8-c808-47d3-9023-5e0a22f46a6b,Agile software development,Agile
urn:uuid:2df6fac6-3122-44dc-9f92-5caab7f9b10b,urn:uuid:558008f2-afd9-48eb-95af-62d01e8727ca,Agriculture,
urn:uuid:64041b58-9f1d-4fac-83d5-899ebeee00d7,urn:uuid:558008f2-afd9-48eb-95af-62d01e8727ca,Agriculture,
urn:uuid:9e16c47a-158f-4936-a193-791c82015a4a,urn:uuid:e3f759d0-c6b5-464a-9288-1494e6bd084e,Alpha,
urn:uuid:9e16c47a-158f-4936-a193-791c82015a4a,urn:uuid:f2934b70-1497-4e30-94eb-cdd6eff23fa0,Altcoins with Pictures,
urn:uuid:1b457bed-8a80-4135-92b8-fdea12b4eea3,urn:uuid:94cd1298-0889-401a-b567-f6181dfefcce,Amazon Web Services,AWS
urn:uuid:2153d83b-8555-44a3-96e0-821b6663a188,urn:uuid:94cd1298-0889-401a-b567-f6181dfefcce,Amazon Web Services,AWS
urn:uuid:2df6fac6-3122-44dc-9f92-5caab7f9b10b,urn:uuid:94cd1298-0889-401a-b567-f6181dfefcce,Amazon Web Services,AWS
urn:uuid:797e83d7-a86f-4838-b5c5-0ec20855197d,urn:uuid:94cd1298-0889-401a-b567-f6181dfefcce,Amazon Web Services,AWS
urn:uuid:bbe073ad-f449-4b25-91ac-7d919613ca51,urn:uuid:94cd1298-0889-401a-b567-f6181dfefcce,Amazon Web Services,AWS
urn:uuid:9e16c47a-158f-4936-a193-791c82015a4a,urn:uuid:6da46e2b-a792-4fbf-8f44-4477d89ad2a8,Anon,
urn:uuid:1b457bed-8a80-4135-92b8-fdea12b4eea3,urn:uuid:aa47112f-756a-48be-9d5c-aaab84d7ef0e,Antifragility,
urn:uuid:2153d83b-8555-44a3-96e0-821b6663a188,urn:uuid:aa47112f-756a-48be-9d5c-aaab84d7ef0e,Antifragility,
urn:uuid:2df6fac6-3122-44dc-9f92-5caab7f9b10b,urn:uuid:aa47112f-756a-48be-9d5c-aaab84d7ef0e,Antifragility,
urn:uuid:abcac1e5-2fe0-4b40-9418-5bc3b62e7d04,urn:uuid:aa47112f-756a-48be-9d5c-aaab84d7ef0e,Antifragility,
urn:uuid:bbe073ad-f449-4b25-91ac-7d919613ca51,urn:uuid:aa47112f-756a-48be-9d5c-aaab84d7ef0e,Antifragility,
urn:uuid:9e16c47a-158f-4936-a193-791c82015a4a,urn:uuid:d891e598-97da-46fd-a796-45f079f45d34,Ape In,
urn:uuid:1b457bed-8a80-4135-92b8-fdea12b4eea3,urn:uuid:e840ba8a-4c6d-4be3-a673-dd6620463a39,Application Programming Interface,API
urn:uuid:2153d83b-8555-44a3-96e0-821b6663a188,urn:uuid:e840ba8a-4c6d-4be3-a673-dd6620463a39,Application Programming Interface,API
urn:uuid:2df6fac6-3122-44dc-9f92-5caab7f9b10b,urn:uuid:e840ba8a-4c6d-4be3-a673-dd6620463a39,Application Programming Interface,API
urn:uuid:4ec7530b-5536-4fb7-bb5a-45a3f5fddc22,urn:uuid:e840ba8a-4c6d-4be3-a673-dd6620463a39,Application Programming Interface,API
urn:uuid:75f35368-e228-47fe-8efd-7251a2bde816,urn:uuid:e840ba8a-4c6d-4be3-a673-dd6620463a39,Application Programming Interface,API
urn:uuid:797e83d7-a86f-4838-b5c5-0ec20855197d,urn:uuid:e840ba8a-4c6d-4be3-a673-dd6620463a39,Application Programming Interface,API
urn:uuid:91684d49-7b99-4b2e-9641-ea0b8e22f66c,urn:uuid:e840ba8a-4c6d-4be3-a673-dd6620463a39,Application Programming Interface,API
urn:uuid:a1a01f1c-7162-439c-94f1-3e28b99ae8ab,urn:uuid:e840ba8a-4c6d-4be3-a673-dd6620463a39,Application Programming Interface,API
urn:uuid:bbe073ad-f449-4b25-91ac-7d919613ca51,urn:uuid:e840ba8a-4c6d-4be3-a673-dd6620463a39,Application Programming Interface,API
urn:uuid:ddfaaacc-9dcb-451b-afa6-477e6e787a5c,urn:uuid:e840ba8a-4c6d-4be3-a673-dd6620463a39,Application Programming Interface,API
urn:uuid:1b457bed-8a80-4135-92b8-fdea12b4eea3,urn:uuid:e840ba8a-4c6d-4be3-a673-dd6620463a39,Application Programming Interface,application programming interface
urn:uuid:2153d83b-8555-44a3-96e0-821b6663a188,urn:uuid:e840ba8a-4c6d-4be3-a673-dd6620463a39,Application Programming Interface,application programming interface
urn:uuid:2df6fac6-3122-44dc-9f92-5caab7f9b10b,urn:uuid:e840ba8a-4c6d-4be3-a673-dd6620463a39,Application Programming Interface,application programming interface
urn:uuid:4ec7530b-5536-4fb7-bb5a-45a3f5fddc22,urn:uuid:e840ba8a-4c6d-4be3-a673-dd6620463a39,Application Programming Interface,application programming interface
urn:uuid:75f35368-e228-47fe-8efd-7251a2bde816,urn:uuid:e840ba8a-4c6d-4be3-a673-dd6620463a39,Application Programming Interface,application programming interface
urn:uuid:797e83d7-a86f-4838-b5c5-0ec20855197d,urn:uuid:e840ba8a-4c6d-4be3-a673-dd6620463a39,Application Programming Interface,application programming interface
